constituency,year,funds_available,pct_completed,sanctioned_funds,works_sanctioned,actual_expenditure,works_completed,pct_utilisation,pending_works,expenditure_to_sanctioned_pct,pending_share_pct,completion_gap_pct,avg_sanction_per_work_lakh,pending_works_yoy_change,actual_expenditure_yoy_change,pct_utilisation_yoy_change
Amritsar,2016,10837.87,99.49,9137.95,6701.0,10258.77,6667.0,94.66,34.0,112.26555190168472,0.5073869571705716,-4.829999999999998,1.3636696015520073,750.0,8.311988597371055,-2.291494632535096
Amritsar,2017,123.63,95.53,120.6,7740.0,115.97,7394.0,93.8,346.0,96.16086235489222,4.470284237726098,-1.730000000000004,0.015581395348837209,917.6470588235294,-98.86955258768839,-0.9085146841326885
Amritsar,2018,123.68,93.33,120.45,8072.0,115.4,7534.0,93.3,538.0,95.80738895807389,6.665014866204163,-0.030000000000001137,0.01492195242814668,55.49132947976878,-0.4915064240751832,-0.5330490405117239
Amritsar,2019,123.82,93.33,120.45,8072.0,115.53,7534.0,93.31,538.0,95.91531755915317,6.665014866204163,-0.01999999999999602,0.01492195242814668,0.0,0.11265164644713721,0.010718113612018243
Amritsar,2020,129.16,93.78,127.95,8135.0,125.43,7629.0,97.11,506.0,98.03048065650644,6.220036877688998,3.3299999999999983,0.015728334357713585,-5.947955390334569,8.56920280446638,4.07244668309934
Amritsar,2021,135.52,94.17,133.9,8237.0,133.49,7757.0,98.5,480.0,99.69380134428678,5.827364331674153,4.329999999999998,0.016255918416899356,-5.138339920948621,6.425894921470143,1.4313664916074664
Amritsar,2022,142.13,94.2,136.64,8425.0,136.11,7936.0,95.77,489.0,99.61211943793913,5.804154302670623,1.5699999999999932,0.016218397626112758,1.8750000000000044,1.9626938347441891,-2.7715736040609174
Bathinda,2010,2951.27,99.35,2841.33,3233.0,2808.86,3212.0,95.17,21.0,98.85722531349755,0.6495515001546551,-4.179999999999993,0.8788524590163934,,,
Bathinda,2011,3313.32,96.06,3227.72,3373.0,2918.79,3240.0,88.09,133.0,90.42884760759918,3.9430773791876668,-7.969999999999999,0.9569285502520011,533.3333333333333,3.9136874034305658,-7.43931911316591
Bathinda,2012,3824.25,94.83,3564.19,3504.0,3250.07,3323.0,84.99,181.0,91.18677736035396,5.165525114155251,-9.840000000000003,1.017177511415525,36.09022556390977,11.349908695041444,-3.5191281643773498
Bathinda,2013,4592.59,89.27,4588.79,3980.0,4274.0,3553.0,93.06,427.0,93.14002166148374,10.728643216080402,3.7900000000000063,1.152962311557789,135.91160220994473,31.50485989532532,9.49523473349807
Bathinda,2014,4844.68,97.79,4545.01,3975.0,4507.61,3887.0,93.04,88.0,99.17711952228926,2.2138364779874213,-4.75,1.143398742138365,-79.39110070257611,5.465839962564334,-0.021491510853210993
Bathinda,2015,5319.55,99.95,4517.7,3971.0,4938.12,3969.0,92.83,2.0,109.30606281957634,0.05036514731805591,-7.1200000000000045,1.1376731301939058,-97.72727272727273,9.550737530531705,-0.2257093723129877
Bathinda,2016,6109.73,100.0,4517.7,3971.0,5792.73,3971.0,94.81,0.0,128.22298957434094,0.0,-5.189999999999998,1.1376731301939058,-100.0,17.30638380598284,2.132931164494245
Bathinda,2017,63.63,98.19,60.04,4745.0,59.31,4659.0,93.21,86.0,98.78414390406395,1.8124341412012646,-4.980000000000004,0.01265331928345627,inf,-98.97613042555065,-1.6875856977112247
Bathinda,2018,63.8,98.12,61.52,4829.0,60.81,4738.0,95.3,91.0,98.84590377113133,1.8844481259059847,-2.8200000000000074,0.01273969765997101,5.813953488372103,2.52908447142135,2.242248685763326
Bathinda,2019,71.37,95.19,69.14,5033.0,67.24,4791.0,94.22,242.0,97.25195256002313,4.808265448042917,-0.9699999999999989,0.01373733359825154,165.93406593406593,10.573918763361267,-1.1332633788037727
Bathinda,2020,76.47,95.19,71.32,5180.0,70.39,4931.0,92.04,249.0,98.69601794727987,4.806949806949807,-3.1499999999999915,0.013768339768339768,2.892561983471076,4.684711481261172,-2.3137338144767483
Bathinda,2021,78.65,97.35,75.03,5236.0,73.81,5097.0,93.85,139.0,98.3739837398374,2.654698242933537,-3.5,0.014329640947288006,-44.17670682730924,4.858644693848557,1.9665362885701754
Bathinda,2022,78.01,98.78,75.67,5234.0,74.53,5170.0,95.54,64.0,98.49345843795427,1.2227741688956821,-3.239999999999995,0.014457393962552542,-53.956834532374096,0.9754775775640212,1.8007458710708635
Faridkot,2010,3613.72,95.79,3539.88,5034.0,3373.66,4822.0,93.36,212.0,95.30436059979434,4.211362733412793,-2.430000000000007,0.7031942789034565,,,
Faridkot,2011,3947.08,94.56,3931.96,5314.0,3649.76,5025.0,92.47,289.0,92.8229178323279,5.438464433571697,-2.0900000000000034,0.7399247271358675,36.32075471698113,8.183990087916392,-0.9532990574121714
Faridkot,2012,4454.06,95.17,4405.08,5647.0,4151.88,5374.0,93.22,273.0,94.25209076793158,4.8344253585974855,-1.9500000000000028,0.7800743757747476,-5.536332179930792,13.757616939195994,0.8110738617930213
Faridkot,2013,5215.06,96.36,5215.05,6121.0,5019.07,5898.0,96.24,223.0,96.2420302777538,3.643195556281653,-0.12000000000000455,0.8519931383760824,-18.315018315018317,20.88668265942175,3.2396481441750558
Faridkot,2014,5474.68,98.48,5207.65,6119.0,5171.19,6026.0,94.46,93.0,99.29987614375005,1.5198561856512502,-4.02000000000001,0.8510622650759927,-58.29596412556054,3.030840374810473,-1.849542809642557
Faridkot,2015,6013.0,99.3,5223.44,6115.0,5417.73,6072.0,90.1,43.0,103.71957943424258,0.7031888798037612,-9.200000000000003,0.8542011447260833,-53.76344086021505,4.76756800659035,-4.61571035358882
Faridkot,2016,6785.23,99.98,5223.95,6100.0,6257.18,6099.0,92.22,1.0,119.77871151140421,0.01639344262295082,-7.760000000000005,0.8563852459016393,-97.67441860465115,15.494496772633571,2.352941176470602
Faridkot,2017,70.17,96.75,69.91,7105.0,66.77,6874.0,95.15,231.0,95.50851094264054,3.251231527093596,-1.5999999999999943,0.009839549612948627,23000.0,-98.93290587772766,3.1771849924094653
Faridkot,2018,75.26,95.25,75.03,7351.0,70.61,7002.0,93.82,349.0,94.1090230574437,4.74765338049245,-1.4300000000000068,0.010206774588491362,51.082251082251084,5.75108581698367,-1.39779295848661
Faridkot,2019,77.76,99.29,75.16,7361.0,74.65,7309.0,96.0,52.0,99.32144757849922,0.7064257573699225,-3.2900000000000063,0.010210569216139111,-85.10028653295129,5.721569182835307,2.323598379876368
Faridkot,2020,83.29,96.99,79.4,7574.0,77.84,7346.0,93.46,228.0,98.0352644836272,3.0102983892263007,-3.530000000000001,0.010483232109849486,338.4615384615385,4.273275284661748,-2.645833333333336
Faridkot,2021,87.94,96.63,82.68,7716.0,80.48,7456.0,91.52,260.0,97.3391388485728,3.3696215655780195,-5.109999999999999,0.010715396578538103,14.035087719298245,3.3915724563206684,-2.075754333404667
Faridkot,2022,85.25,98.83,85.19,7801.0,84.21,7710.0,98.78,91.0,98.84963023829089,1.1665171131906167,-0.04999999999999716,0.010920394821176772,-65.0,4.634691848906547,7.932692307692313
Fatehgarh Sahib,2010,,,,,,,,,,,,,,,
Fatehgarh Sahib,2011,,,,,,,,,,,,,,,
Fatehgarh Sahib,2012,,,,,,,,,,,,,,,
Fatehgarh Sahib,2013,,,,,,,,,,,,,,,
Fatehgarh Sahib,2014,,,,,,,,,,,,,,,
Fatehgarh Sahib,2015,,,,,,,,,,,,,,,
Fatehgarh Sahib,2016,,,,,,,,,,,,,,,
Fatehgarh Sahib,2017,,,,,,,,,,,,,,,
Fatehgarh Sahib,2018,66.98,97.49,65.44,9297.0,62.0,9064.0,92.56,233.0,94.74327628361858,2.506184790792729,-4.929999999999993,0.007038829730020436,,,
Fatehgarh Sahib,2019,69.62,97.57,67.58,9352.0,64.68,9125.0,92.91,227.0,95.70878958271679,2.4272882805816938,-4.659999999999997,0.007226261762189906,-2.5751072961373356,4.322580645161311,0.37813310285219615
Fatehgarh Sahib,2020,75.67,96.9,74.65,9525.0,69.68,9230.0,92.08,295.0,93.34226389819156,3.0971128608923886,-4.820000000000007,0.00783727034120735,29.955947136563886,7.7303648732220065,-0.8933376385749647
Fatehgarh Sahib,2021,87.19,96.7,83.04,9746.0,79.43,9424.0,91.1,322.0,95.65269749518305,3.303919556741227,-5.6000000000000085,0.008520418633285452,9.152542372881346,13.992537313432841,-1.0642919200695045
Fatehgarh Sahib,2022,87.34,95.91,86.28,9880.0,80.71,9476.0,92.41,404.0,93.54427445526193,4.089068825910931,-3.5,0.008732793522267206,25.46583850931676,1.6114818078811322,1.4379802414928644
Fazilka,2010,,,,,,,,,,,,,,,
Fazilka,2011,,,,,,,,,,,,,,,
Fazilka,2012,,,,,,,,,,,,,,,
Fazilka,2013,,,,,,,,,,,,,,,
Fazilka,2014,,,,,,,,,,,,,,,
Fazilka,2015,,,,,,,,,,,,,,,
Fazilka,2016,,,,,,,,,,,,,,,
Fazilka,2017,,,,,,,,,,,,,,,
Fazilka,2018,,,,,,,,,,,,,,,
Fazilka,2019,,,,,,,,,,,,,,,
Fazilka,2020,2.81,0.0,2.71,49.0,2.02,22.0,71.96,27.0,74.53874538745387,55.10204081632653,71.96,0.05530612244897959,,,
Fazilka,2021,7.37,34.26,5.24,108.0,2.63,37.0,35.69,71.0,50.19083969465649,65.74074074074075,1.4299999999999997,0.04851851851851852,162.962962962963,30.1980198019802,-50.4030016675931
Fazilka,2022,7.41,45.03,7.2,151.0,5.18,68.0,70.01,83.0,71.94444444444444,54.966887417218544,24.980000000000004,0.04768211920529802,16.901408450704224,96.95817490494296,96.16138974502664
Firozpur,2010,3343.0,97.53,3311.62,2714.0,3226.84,2647.0,96.53,67.0,97.43992366273909,2.468680913780398,-1.0,1.220198968312454,,,
Firozpur,2011,3727.78,95.06,3698.39,2933.0,3523.56,2788.0,94.52,145.0,95.27280789749054,4.943743607228094,-0.5400000000000063,1.2609580634162973,116.41791044776117,9.195373802233764,-2.0822542214855577
Firozpur,2012,4234.27,93.35,4204.08,3173.0,3928.87,2962.0,92.79,211.0,93.45374017620978,6.649858178380082,-0.5599999999999881,1.3249543019224708,45.51724137931035,11.502855067034478,-1.8303004655099375
Firozpur,2013,4985.34,96.16,4946.33,3721.0,4722.06,3578.0,94.72,143.0,95.46593130664554,3.8430529427573235,-1.4399999999999977,1.3293012631013168,-32.22748815165877,20.188756563592094,2.0799655135251616
Firozpur,2014,5235.34,98.73,4946.46,3712.0,4891.63,3665.0,93.43,47.0,98.89153050868703,1.2661637931034482,-5.299999999999997,1.3325592672413793,-67.13286713286713,3.5910174796592864,-1.3619087837837718
Firozpur,2015,5819.69,99.68,5014.79,3710.0,5608.7,3698.0,96.37,12.0,111.84316790932422,0.32345013477088946,-3.3100000000000023,1.3516954177897573,-74.46808510638299,14.659121806023755,3.1467408755217807
Firozpur,2016,6533.67,99.76,4965.08,3709.0,6236.62,3700.0,95.45,9.0,125.60965785042738,0.2426530062011324,-4.310000000000002,1.3386573200323537,-25.0,11.195464189562653,-0.9546539379474916
Firozpur,2017,70.47,94.04,69.47,4751.0,65.97,4468.0,93.61,283.0,94.96185403771412,5.956640707219533,-0.4300000000000068,0.014622184803199326,3044.4444444444443,-98.94221549493155,-1.927710843373498
Firozpur,2018,75.52,91.94,75.52,5062.0,71.53,4654.0,94.72,408.0,94.71663135593221,8.060055314105098,2.780000000000001,0.014919004346108256,44.169611307420496,8.428073366681833,1.1857707509881354
Firozpur,2019,75.6,98.14,75.36,5057.0,74.78,4963.0,98.91,94.0,99.23036093418258,1.858809570891833,0.769999999999996,0.014902115878979633,-76.9607843137255,4.543548161610511,4.423564189189189
Firozpur,2020,75.6,99.68,75.35,5056.0,75.15,5040.0,99.4,16.0,99.73457199734574,0.31645569620253167,-0.28000000000000114,0.014903085443037974,-82.97872340425532,0.49478470179193934,0.4953998584571906
Firozpur,2021,75.6,99.94,75.34,5056.0,75.15,5053.0,99.4,3.0,99.74780992832494,0.05933544303797468,-0.539999999999992,0.01490110759493671,-81.25,0.0,0.0
Firozpur,2022,75.34,99.94,75.34,5056.0,75.15,5053.0,99.74,3.0,99.74780992832494,0.05933544303797468,-0.20000000000000284,0.01490110759493671,0.0,0.0,0.3420523138832898
Gurdaspur,2010,4872.36,94.58,4615.99,4905.0,4525.37,4639.0,92.88,266.0,98.03682416989639,5.423037716615698,-1.7000000000000028,0.941078491335372,,,
Gurdaspur,2011,5254.69,93.61,5017.69,5183.0,4800.13,4852.0,91.35,331.0,95.66414027171867,6.386262782172487,-2.260000000000005,0.9681053443951378,24.436090225563902,6.071547740847705,-1.6472868217054293
Gurdaspur,2012,6168.22,94.79,5781.01,5468.0,5511.27,5183.0,89.35,285.0,95.33403332635646,5.212143379663496,-5.440000000000012,1.057243964886613,-13.897280966767367,14.815015426665546,-2.1893814997263283
Gurdaspur,2013,6885.19,91.56,6878.77,5927.0,6326.44,5427.0,91.88,500.0,91.97051217005365,8.435970980259828,0.3199999999999932,1.160582081997638,75.43859649122805,14.790964695977493,2.831561275881378
Gurdaspur,2014,7750.22,93.38,7235.35,6103.0,6836.2,5699.0,88.21,404.0,94.48333529131278,6.6196952318531865,-5.170000000000002,1.1855398984106178,-19.199999999999996,8.05761217999381,-3.994340444057465
Gurdaspur,2015,8517.33,97.43,7724.59,6305.0,7618.64,6143.0,89.45,162.0,98.62840616783544,2.569389373513085,-7.980000000000004,1.2251530531324346,-59.900990099009896,11.44553991983852,1.4057363110758558
Gurdaspur,2016,9538.62,93.35,8706.89,6752.0,8733.92,6303.0,91.56,449.0,100.31044379795772,6.649881516587678,-1.789999999999992,1.289527547393365,177.16049382716048,14.638833177574995,2.358859698155391
Gurdaspur,2017,102.98,94.81,98.2,7014.0,95.95,6650.0,93.17,364.0,97.70875763747453,5.189620758483034,-1.6400000000000006,0.014000570287995439,-18.930957683741646,-98.90140967629655,1.758409785932713
Gurdaspur,2018,113.78,97.95,118.0,7705.0,98.35,7547.0,86.44,158.0,83.34745762711864,2.0506164828033744,-11.510000000000005,0.015314730694354316,-56.59340659340659,2.5013027618551176,-7.223355157239464
Gurdaspur,2019,116.21,93.43,118.33,7567.0,106.54,7070.0,91.67,497.0,90.03633905180428,6.567992599444958,-1.7600000000000051,0.015637637108497422,214.55696202531644,8.327402135231331,6.050439611291081
Gurdaspur,2020,121.34,94.86,122.53,7643.0,115.21,7250.0,94.94,393.0,94.02595282787888,5.141959963365171,0.0799999999999983,0.01603166295957085,-20.925553319919523,8.137788623990971,3.567143012981333
Gurdaspur,2021,130.98,95.3,127.05,7743.0,119.36,7379.0,91.13,364.0,93.94726485635577,4.701020276378665,-4.170000000000002,0.016408368849283223,-7.379134860050895,3.60211787171254,-4.013060880556141
Gurdaspur,2022,133.0,88.19,145.52,8534.0,123.24,7526.0,92.66,1008.0,84.68938977460142,11.811577220529646,4.469999999999999,0.01705179282868526,176.9230769230769,3.250670241286868,1.6789202238560286
Hoshiarpur,2010,7042.2,87.61,6806.71,7829.0,6305.27,6859.0,89.54,970.0,92.63315169883835,12.389832673393792,1.9300000000000068,0.8694226593434666,,,
Hoshiarpur,2011,8257.58,86.39,8087.43,8543.0,7380.0,7380.0,89.37,1163.0,91.25272181644849,13.613484724335713,2.980000000000004,0.9466732997775957,19.896907216494842,17.044948114830927,-0.18985928076837855
Hoshiarpur,2012,9519.21,87.97,9341.79,9668.0,8726.16,8505.0,91.67,1163.0,93.40993535500155,12.029375258585024,3.700000000000003,0.9662587918907738,0.0,18.240650406504066,2.5735705494013716
Hoshiarpur,2013,11546.66,85.39,11405.37,11523.0,10566.82,9839.0,91.51,1684.0,92.64776153689007,14.614249761346871,6.1200000000000045,0.9897917209060141,44.797936371453126,21.093585265454685,-0.17453910766880298
Hoshiarpur,2014,12350.12,87.39,11531.22,12148.0,11288.75,10616.0,91.41,1532.0,97.8972736622838,12.611129404017122,4.019999999999996,0.9492278564372736,-9.02612826603325,6.8320459703108405,-0.1092776745710955
